Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
138661,2020-03-10T16:39:16+00:00,"@OfficialBrandX &amp; District 97 join forces for 4 Midwest shows this Spring! Are you ready? 

3.27 @reggieslive, Chicago, IL
3.29 @ Irving Theater, Indianapolis, iN
3.31 @FlagstarStrand, Pontiac, MI
4.3 @LudlowGarage, Cincinnati, OH

Full dates/tickets at https://t.co/s0LvQy1xZU. https://t.co/v0ezE7KlEU",1237417748533334019,District 97,0,0,1,0,"Chicago, IL",,1269,1273,0,officialbrandx amp district 97 join forces 4 midwest shows spring ready 327 reggieslive chicago il329 irving theater indianapolis in331 flagstarstrand pontiac mi43 ludlowgarage cincinnati ohfull datestickets,officialbrandx amp district 97 join force for 4 midwest show thi spr are you ready 327 reggiesliv chicago il329 irv theater indianapoli in331 flagstarstrand pontiac mi43 ludlowgarag cincinnati ohfull datesticket at,[]
442885,2020-03-28T23:08:22+00:00,@Z_Speaks Just been sleeping hella 😂,1244038652172341250,rebel grace 🌱,1,0,1,0,"Chicago, IL",,1536,1016,0,zspeaks sleeping hella 😂,zspeak just been sleep hella 😂,['face_with_tears_of_joy']
386257,2020-03-24T04:11:47+00:00,Day 7: I just want this shit to be over w bro it’s too much I wanna be a regular college student again I’ll never complain about getting up for my 8 am again 😂,1242303068923985922,📴,0,1,1,0,"Chicago, IL",,624,754,0,day 7 want shit w bro ’ much wan na regular college student ’ never complain getting 8 😂,day 7 i just want thi shit to be over w bro it ’ s too much i wan na be a regular colleg student again i ’ ll never complain about gett up for my 8 am again 😂,['face_with_tears_of_joy']
437654,2020-03-27T04:11:40+00:00,@jameerpond I forgot about this show. It was good,1243390204813013005,Charles Allen,0,0,0,0,"Chicago, IL",,2014,4987,0,jameerpond forgot show good,jameerpond i forgot about thi show it was good,[]
452718,2020-03-28T07:49:13+00:00,.... i wonder,1243807341960708097,Naj Huger,0,0,2,0,"Chicago, IL",,4320,1116,0,wonder,i wonder,[]
122553,2020-03-09T19:01:21+00:00,This didn’t age well... https://t.co/dqPUMqvcht,1237091120036839426,Julian Beeks,0,0,2,0,"Chicago, IL",,556,493,0,’ age well,thi didn ’ t age well,[]
85779,2020-03-06T04:10:19+00:00,"They threw HILLARY UNDER THE BUS when she lost.... And WERE CERTAIN Warren was the solution.

So many so called Feminists and black Academia played themselves with her. https://t.co/B3Wd8sH3Bu",1235779721683705858,NewDemocrat4Life,0,20,73,0,"Chicago, IL",,15788,1998,0,threw hillary bus lost certain warren solutionso many called feminists black academia played,they threw hillary under the bus when she lost and wer certain warren was the solutionso many so called feminist and black academia played themselve with her,[]
347130,2020-03-22T17:38:46+00:00,@jemtrulyoutrage @CWBChicago 🖕🏻,1241781380478046210,Paul Claytron,0,0,0,0,"Chicago, IL",,73,523,0,jemtrulyoutrage cwbchicago 🖕🏻,jemtrulyoutrag cwbchicago 🖕🏻,['middle_finger_light_skin_tone']
418783,2020-03-26T11:19:36+00:00,"@TiffanyDCross The Jeffersons
The Monkees
Gilligan's island",1243135508345245702,kimberly whiters,0,0,0,0,"Chicago, IL",,155,429,0,tiffanydcross jeffersonsthe monkeesgilligans island,tiffanydcros the jeffersonsth monkeesgilligan island,[]
318071,2020-03-20T05:17:10+00:00,Tik tok is the only thing that hs kept me sane these days,1240869971950850053,Erin Reynolds,1,0,2,0,"Chicago, IL",,210,237,0,tik tok thing hs kept sane days,tik tok is the only th that hs kept me san thes day,[]
