Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
28870,2020-05-03T20:02:17+00:00,"“Watching my lil' boy play with toys,
I just dropped a tear of joy,
some shit that I feel for.
I been going crazy with that scoring call me baby Harden, they say I'll be great I guess I'm waiting for it.. “
- @lilbaby4PF    #emotionallyscarred",1257037785451638791,Shaul Peters,0,0,0,0,Skokie,['emotionallyscarred'],144,393,1,“ watching lil boy play toysi dropped tear joysome shit feel fori going crazy scoring call baby harden say ill great guess im waiting “ lilbaby4pf emotionallyscarred,“ watch my lil boy play with toysi just dropped a tear of joysom shit that i feel fori been go crazy with that scor call me baby harden they say ill be great i gues im wait for it “ lilbaby4pf emotionallyscarred,[]
29315,2020-05-03T19:25:39+00:00,"I am so sorry, homemade bread baking white devil, how DARE I want to make my own bread for my own joy. My lowly brown ass shouldn’t dare make any. But if I catch you making tortillas you will meet the wrath of my mortar and pestle. https://t.co/oPORLIE3EY",1257028565247365120,⌛️𝕯𝖎𝖒𝖊𝖓𝖘𝖎𝖔𝖓⭐️𝖂𝖎𝖙𝖈𝖍⏳,1,0,2,0,Chicago,,71,305,1,sorry homemade bread baking white devil dare want make bread joy lowly brown ass ’ dare make catch making tortillas meet wrath mortar pestle,i am so sorry homemad bread bak whit devil how dar i want to mak my own bread for my own joy my lowly brown ass shouldn ’ t dar mak any but if i catch you mak tortilla you will meet the wrath of my mortar and pestl,[]
29428,2020-05-03T19:15:08+00:00,Joy in the midst of sorrow.  Congrats to my brother @SisoNtuli and his family on their new addition!! https://t.co/L372zh0Mbm,1257025922001223680,Aaron McGriff,4,0,21,1,Chicago,,3602,1435,1,joy midst sorrow congrats brother sisontuli family new addition,joy in the midst of sorrow congrat to my brother sisontuli and his family on their new addition,[]
30018,2020-05-03T18:22:56+00:00,Ok I downloaded this ASMR app when I saw this joke circulating and it has been a total joy. https://t.co/g68t9reQHS,1257012785810223104,Brad Romance,1,0,1,0,Chicago,,487,588,1,ok downloaded asmr app saw joke circulating total joy,ok i downloaded thi asmr app when i saw thi jok circulat and it has been a total joy,[]
32574,2020-05-03T14:48:28+00:00,"Have Balance In The Joy Of Life That God Gives You!
@simongordon1",1256958810339581953,Triedstone Church of Chicago,0,0,0,0,Triedstone Full Gospel Baptist Church,,383,19,1,balance joy life god gives yousimongordon1,hav balanc in the joy of lif that god give yousimongordon1,[]
33220,2020-05-03T13:35:34+00:00,"May the God of hope fill you with all joy and peace as you trust in him, so that you may overflow with ho…
https://t.co/OtxhB5U9cD https://t.co/jgJ1upjOUf",1256940465741586432,Diane Atkins Stone,0,0,0,0,Chicago,,65,134,1,may god hope fill joy peace trust may overflow ho…,may the god of hop fill you with all joy and peac as you trust in him so that you may overflow with ho…,[]
33520,2020-05-03T12:38:56+00:00,Happy Sunday everyone. Wishing you a restorative and joy filled day! ☀️,1256926214327078914,Damon,1,0,12,0,Chicago,,2558,4132,1,happy sunday everyone wishing restorative joy filled day ☀️,happy sunday everyon wish you a restorativ and joy filled day ☀️,['sun']
34033,2020-05-03T09:27:42+00:00,@_TyRenaee Chari’ Joy is a greattttttttt artist,1256878086915862529,buenos noches💤,0,0,0,0,Chicago,,325,473,1,tyrenaee chari ’ joy greattttttttt artist,tyrenae chari ’ joy is a greattttttttt artist,[]
34799,2020-05-03T05:51:53+00:00,"@jeffbrutlag It was amazing and a joy to watch. And, Omgosh...Luna-P!",1256823775187828736,Charlie K. Perkins,0,0,0,0,Chicago,,496,975,1,jeffbrutlag amazing joy watch omgoshlunap,jeffbrutlag it was amaz and a joy to watch and omgoshlunap,[]
34826,2020-05-03T05:47:17+00:00,ok but remember mfs would make posts of random kpop idols body parts and u had to guess who it was ???  and u felt such pride n joy cuz u guessed ur fav based on a pic of a ankle or a wrist ?? nope ? is that just me ??,1256822617476141056,big shirt little pants,0,0,1,0,Chicago,,106,94,1,ok remember mfs would make posts random kpop idols body parts u guess u felt pride n joy cuz u guessed ur fav based pic ankle wrist nope,ok but remember mfs would mak post of random kpop idol body part and u had to gues who it was and u felt such prid n joy cuz u guessed ur fav based on a pic of a ankl or a wrist nop is that just me,[]
