Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
879,2021-10-01T22:28:08+00:00,@NJBearsFan Sir you’ve made an 11/10 family while celebrating a newer bundle of joy…. What you know about pulling out ?!? 😂😂😂😂,1444066630049443846,Justin 🌱.,1,0,9,1,"[-87.940033, 41.644102]","Chicago, IL",0,990,996,1,njbearsfan sir ’ made 1110 family celebrating newer bundle joy… know pulling 😂😂😂😂,njbearsfan sir you ’ ve mad an 1110 family whil celebrat a newer bundl of joy… what you know about pull out 😂😂😂😂,"['face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
1099,2021-10-01T22:02:06+00:00,This would be amazing! Ours is Joy.... our staff hashtag this year  is #joyofburley https://t.co/CrJzgSUqqg,1444060078185885701,Catherine Plocher,0,0,4,0,"[-87.940033, 41.644102]","Chicago, IL",['joyofburley'],1402,1022,1,would amazing joy staff hashtag year joyofburley,thi would be amaz our is joy our staff hashtag thi year is joyofburley,[]
1751,2021-10-01T20:45:17+00:00,Watching clouds cutting through wings is a pure source of joy.,1444040746282147845,Muhammad Umer Farooq,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,111,241,1,watching clouds cutting wings pure source joy,watch cloud cutt through wing is a pur sourc of joy,[]
1866,2021-10-01T20:30:43+00:00,You may be doing the wrong thing if you have to find joy https://t.co/xYVNSIJL54,1444037080670248960,Chanted,0,0,1,0,"[-87.883955, 41.834043]","Broadview, IL",0,1662,2276,1,may wrong thing find joy,you may be do the wrong th if you hav to find joy,[]
4077,2021-10-01T16:13:35+00:00,Accidentally opened the film back and thought I ruined the photo. Film brings all the joy https://t.co/XkDzaccGZX,1443972368645427200,Craig S Hensel,0,2,26,0,"[-87.940033, 41.644102]","Chicago, IL",0,1362,731,1,accidentally opened film back thought ruined photo film brings joy,accidentally opened the film back and thought i ruined the photo film bring all the joy,[]
4211,2021-10-01T16:00:48+00:00,"Happy Halloween!🎃🍁🌻🍂 10.1.2021 I pray this October is healing, full of life, joy, peace and abundance in all areas of your life. I'll be sending you some good energy this fall. Wear your mask, protect yo energy &amp; dont forget to check in on your homies🏵️( ◜‿◝ )♡love☁️",1443969151853371410,SkateboardWizard☁️,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1,39,1,happy halloween🎃🍁🌻🍂 1012021 pray october healing full life joy peace abundance areas life ill sending good energy fall wear mask protect yo energy amp dont forget check homies🏵️ ◜‿◝ ♡love☁️,happy halloween🎃🍁🌻🍂 1012021 i pray thi october is heal full of lif joy peac and abundanc in all area of your lif ill be send you som good energy thi fall wear your mask protect yo energy amp dont forget to check in on your homies🏵️ ◜‿◝ ♡love☁️,"['jack-o-lantern', 'maple_leaf', 'sunflower', 'fallen_leaf', 'rosette', 'cloud']"
5233,2021-10-01T14:12:28+00:00,"So an interesting development yesterday with Tré. He likes CocoMelon, which of course he does BUT! yesterday I found out he loves 90s Miami bass music. 
I had to reach into my 8 year old brain and make a small playlist and the joy on his face.",1443941890966147074,Legends Never Die,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,374,314,1,interesting development yesterday tré likes cocomelon course yesterday found loves 90s miami bass music reach 8 year old brain make small playlist joy face,so an interest development yesterday with tré he like cocomelon which of cours he doe but yesterday i found out he love 90s miami bas music i had to reach into my 8 year old brain and mak a small playlist and the joy on his fac,[]
5280,2021-10-01T14:05:22+00:00,"Discussing the Jackson Park ground breaking and ongoing community pushback for the OPC, some key budget proposal details, and a couple moments of joy w @_CharlesPreston and @HeatherCherone … seriously thank all our guests for answering our random emails!
https://t.co/mhAFu69Ncd",1443940104750383112,Jacoby Cochran,0,4,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,1369,966,1,discussing jackson park ground breaking ongoing community pushback opc key budget proposal details couple moments joy w charlespreston heathercherone … seriously thank guests answering random emails,discuss the jackson park ground break and ongo community pushback for the opc som key budget proposal detail and a coupl moment of joy w charlespreston and heathercheron … seriously thank all our guest for answer our random email,[]
5675,2021-10-01T13:14:36+00:00,Time for me to fart rainbows and share my joy with the public!! Have a good morning yall https://t.co/xtOIius47Z,1443927328929816621,Oliver,18,2,64,0,"[-87.940033, 41.644102]","Chicago, IL",0,21918,22003,1,time fart rainbows share joy public good morning yall,tim for me to fart rainbow and shar my joy with the public hav a good morn yall,[]
6199,2021-10-01T11:32:28+00:00,"Lord Jesus, give us a purity of faith to gaze upon Your face with joy and confidence in Your mercy and love. May we receive Your word with trust and humility.",1443901623177302019,brcampmin,0,0,0,0,"[-87.798798, 41.68331]","Oak Lawn, IL",0,157,190,1,lord jesus give us purity faith gaze upon face joy confidence mercy love may receive word trust humility,lord jesu giv us a purity of faith to gaz upon your fac with joy and confidenc in your mercy and lov may we receiv your word with trust and humility,[]
