,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
282567,2021-09-28T22:00:25+00:00,Thank you to the Chicago Drag Community for welcoming me and showing me some real love. ❤️ Words can’t express how thankful I am for all the support I’ve received since starting my drag journey. Shoutout to @omanicross for the opportunity to be apart of this project! ✨ https://t.co/BBe7C1h060,1442972492381962240,Gigi Madid,0,5,64,0,"[-87.940033, 41.644102]","Chicago, IL",0,731,1204,0
56078,2021-09-06T14:50:27+00:00,"@StPaulgirl3 @JLVsTW1 But her fake Chicklet teeth 
Are whiter.",1434891752167587844,Grant Noland Jr.,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,25393,26037,0
280314,2021-09-27T01:35:08+00:00,@jandro0o 👀,1442301749868498945,Luis,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,1210,1876,0
142203,2021-09-14T03:54:32+00:00,10 MORE YEARS FOR GRUDEN,1437625790351519750,sam,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,59,177,0
95454,2021-09-10T15:26:20+00:00,"@AlAstro773 Love you g, we taking this shit to new levels on my future baby mother🤞🏽",1436350336273420294,wokeuplikethis*,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,664,348,0
150151,2021-09-15T14:20:07+00:00,I’d love to work with more artist from the city,1438145611501608964,fuck lori lightfoot 💚,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,572,577,0
21261,2021-09-03T22:53:17+00:00,Nasi bout to drop the album of the year on the 17th.,1433926096160972802,Big Zo,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,353,352,0
203433,2021-09-20T15:11:36+00:00,"Y’all are horny as hell 😭

Y’all came running omggggg",1439970506837577733,✿ Moan-A-LI$A ✿,3,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1706,661,0
285261,2021-09-28T15:58:46+00:00,Vinyl playlist for today at the studio. @ Ground Up Press https://t.co/sG6fZHFKff,1442881478019346433,Dan Grzeca is Fully Vaccinated,0,0,0,0,"[-87.692888, 41.955456]","Chicago, IL",0,2446,2976,0
74818,2021-09-08T15:03:03+00:00,The girtz! ⭐️😍 https://t.co/DXUMZXTqYW,1435619701267255304,Akeria The SCARLET WITCH Davenport,0,6,397,0,"[-87.940033, 41.644102]","Chicago, IL",0,116858,1114,0
62801,2021-09-07T20:28:53+00:00,@_kenharv_ Protein is important!,1435339309926821892,Patty Cake,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,79,672,0
145217,2021-09-15T23:23:55+00:00,me in like 90 min https://t.co/Ua0OHykmxt,1438282460387811333,kirky turkey,2,0,8,0,"[-87.940033, 41.644102]","Chicago, IL",0,2312,987,0
