,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
320985,2020-08-24T12:57:05+00:00,"Everything has a begining and an end.

 This single momma will miss the joy and nourishment of living with other loving adults who care for my girl as much as I do. Back to face whatever this year may be. Love and godspeed to you, my trusted and loved PLN #earlylang #langchat https://t.co/R4tOJPR6OH",1297880611642843137,Valerie Shull,1,0,8,0,"[-87.940033, 41.644102]","Chicago, IL","['earlylang', 'langchat']",1733,818,1
323199,2020-08-24T03:47:00+00:00,"In the midst of the chaos, I have to remember to capture the small moments of joy. Saw this beauty on our way to pick up our desks. 

I always remember that God gave Noah the rainbow sign as a reminder of His promise. 🌈 remind me that storms are not permanent &amp; things change. https://t.co/LnJerbE6hM",1297742175678103552,Dr. Annice E. Fisher,0,0,1,0,"[-87.606369, 41.785557]","Hyde Park, Chicago",0,578,949,1
323208,2020-08-24T03:46:09+00:00,@minakimes hope Cash Considerations bring as much joy and dingers,1297741964163588096,Josh Maurice,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,219,750,1
325179,2020-08-24T01:08:22+00:00,"This thread. This whole thing. How young LGBTQ+ people don’t understand what a step forward this is, how AMAZING this is, this graphic. Yes, we have a long way to go. But take the win. This image brings me joy and, dare I say, HOPE. https://t.co/lTcKkg8XtR https://t.co/7rQmAWwIOb",1297702256666726400,Sally Sells Beer🍺,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1449,3967,1
325319,2020-08-24T00:59:08+00:00,Love this #JOY https://t.co/VZ8vBoVz2n,1297699932829356032,Mike Owen,0,0,8,0,"[-87.733451, 42.0191507]","Evanston, IL",['JOY'],664,417,1
327784,2020-08-25T21:55:38+00:00,"“You show me the path of life. In your presence there is fullness of joy.” Psalm 16:11 
•
•
•
Have you stopped by our labyrinth lately? It’s not only an iconic part of the Cathedral grounds, but a respite from the… https://t.co/jfBL9ivWT2",1298378527641948160,St. James Cathedral Chicago,0,0,0,0,"[-87.62615, 41.89477]","Chicago, IL",0,468,359,1
329700,2020-08-25T19:13:51+00:00,@WhittyAuthor Me either. My absolute joy as a Bookseller to have a book like yours come my way.,1298337816175353856,📚Blurb Your Enthusiasm is Querying📚,1,0,1,0,"[-87.9182802, 41.774916]","Western Springs, IL",0,749,700,1
331207,2020-08-25T17:13:39+00:00,"Baseball is giving us some joy.
Open 11am-4am, 5am Saturday•365 (usually)
#lincolnpark #chicago https://t.co/ksHwyaUtyo",1298307562736148482,Frank’s Bar 🍸,0,1,5,0,"[-87.64182971483885, 41.92798394242935]",Frank's,"['lincolnpark', 'chicago']",2925,2430,1
331463,2020-08-25T16:51:54+00:00,"Pure joy at Rosanna &amp; Johnny’s gorgeous micro-wedding in Chicago! Creative cool &amp; organic originality, while seriously embracing social distancing (including the 😷😷hora!!) The video production was intense &amp; live broadcast to 200 guests in Stockholm, their original destination. https://t.co/JaVLvWO9ng",1298302090691907584,Kristina Taheri,0,0,6,0,"[-87.940033, 41.644102]","Chicago, IL",0,424,316,1
332053,2020-08-25T15:58:50+00:00,"From epic photoshoot, gorgeous bridal party, beautiful bride (&amp; groom), tears of joy, laughters, memorable ceremony, to even having Rev. Jesse Jackson crashing the rehearsal dinner, this wedding had it all. I can’t… https://t.co/U6tfrhpmKq",1298288735566659584,kennykim,0,0,0,0,"[-87.6285, 41.8863]","Chicago, IL",0,8762,445,1
