,Char,Unicode,Neg,Neut,Pos,Sentiment score,Emot_Intensity
97,🎁,0x1f381,0.041,0.158,0.801,0.759,0.8795
98,😠,0x1f620,0.564,0.172,0.265,-0.299,0.6495
99,🐧,0x1f427,0.042,0.46,0.498,0.456,0.728
100,☆,0x2606,0.032,0.509,0.46,0.428,0.714
101,🍀,0x1f340,0.025,0.665,0.31,0.285,0.6425
102,🎈,0x1f388,0.018,0.246,0.736,0.718,0.859
103,🎅,0x1f385,0.029,0.625,0.347,0.318,0.659
104,😓,0x1f613,0.431,0.217,0.351,-0.08,0.54
105,😣,0x1f623,0.54,0.131,0.328,-0.212,0.606
106,😐,0x1f610,0.553,0.282,0.165,-0.388,0.694
107,✊,0x270a,0.139,0.293,0.568,0.429,0.7145
108,😨,0x1f628,0.434,0.272,0.294,-0.14,0.5700000000000001
109,😖,0x1f616,0.483,0.188,0.328,-0.155,0.5775
110,💤,0x1f4a4,0.144,0.341,0.515,0.37,0.685
111,💓,0x1f493,0.061,0.214,0.725,0.664,0.8320000000000001
112,👎,0x1f44e,0.494,0.199,0.307,-0.188,0.594
113,💦,0x1f4a6,0.141,0.247,0.612,0.471,0.7355
114,✔,0x2714,0.127,0.476,0.397,0.27,0.635
115,😷,0x1f637,0.474,0.221,0.305,-0.169,0.5845
116,⚡,0x26a1,0.044,0.735,0.221,0.177,0.5885
117,🙋,0x1f64b,0.13,0.255,0.615,0.485,0.7424999999999999
118,🎄,0x1f384,0.067,0.335,0.598,0.531,0.7655000000000001
119,💩,0x1f4a9,0.409,0.297,0.293,-0.116,0.558
120,🎵,0x1f3b5,0.106,0.288,0.606,0.5,0.75
121,➡,0x27a1,0.013,0.827,0.16,0.147,0.5735
122,😛,0x1f61b,0.085,0.229,0.686,0.601,0.8005
123,😬,0x1f62c,0.267,0.272,0.461,0.194,0.597
124,👯,0x1f46f,0.117,0.327,0.556,0.439,0.7195
125,💎,0x1f48e,0.057,0.325,0.618,0.561,0.7805
126,🌿,0x1f33f,0.009,0.597,0.393,0.384,0.692
127,🎂,0x1f382,0.083,0.221,0.696,0.613,0.8065
128,🌟,0x1f31f,0.059,0.554,0.386,0.327,0.6635
129,🔮,0x1f52e,0.035,0.663,0.302,0.267,0.6335
130,❗,0x2757,0.159,0.582,0.259,0.1,0.55
131,👫,0x1f46b,0.22,0.305,0.475,0.255,0.6275
132,🏆,0x1f3c6,0.036,0.203,0.761,0.726,0.863
133,✖,0x2716,0.046,0.597,0.357,0.311,0.6555
