09-2019,440896
,
10-2019,470769
,
11-2019,426051
,
12-2019,436771
,
01-2020,444911
,
02-2020,434273
,
03-2020,505763
,
04-2020,431768
,
05-2020,415851
,
06-2020,386399
,
07-2020,407280
,
08-2020,418722
,
09-2020,398713
,
10-2020,409184
,
11-2020,432269
,
12-2020,358221
,
01-2021,353890
,
02-2021,284830
,
03-2021,299596
,
04-2021,286578
,
05-2021,276894
,
06-2021,281175
,
07-2021,306932
,
08-2021,321206
,
09-2021,310699
,
10-2021,323942
,
11-2021,285708
,
12-2021,290912
,
01-2022,220265
