Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
909,2021-03-01T22:13:23+00:00,"@JoyDenham Happy Birthday, Joy!",1366511913748881408,AAW Wrestling,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,51888,17758,1,joydenham happy birthday joy,joydenham happy birthday joy,[]
1348,2021-03-01T21:22:12+00:00,This brings me joy to watch as well https://t.co/rhPDf8ld0v,1366499032567283728,Legends Never Die,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,369,288,1,brings joy watch well,thi bring me joy to watch as well,[]
2210,2021-03-01T19:47:54+00:00,"Ah, the sheer joy and excitement this germ-infested cage once brought. Stupid pandemic. https://t.co/KAa3aEaOed",1366475303682473985,Hayden Jackson,0,0,4,0,"[-87.805698, 41.8650062]","Oak Park, IL",0,137,329,1,ah sheer joy excitement germinfested cage brought stupid pandemic,ah the sheer joy and excitement thi germinfested cag onc brought stupid pandemic,[]
3918,2021-03-01T16:47:58+00:00,I just think the month of March is such an important time in our nation’s history to celebrate the joy and the light that is My Presence in your lives https://t.co/YmEumPitR6,1366430019967463426,Eric.,0,0,14,0,"[-87.940033, 41.644102]","Chicago, IL",0,1289,777,1,think month march important time nation ’ history celebrate joy light presence lives,i just think the month of march is such an important tim in our nation ’ s history to celebrat the joy and the light that is my presenc in your live,[]
5274,2021-03-01T14:03:57+00:00,Our relationship with God frees us to be people of encounter and of joy knowing that we always have a reason for hope! https://t.co/0G21xwjkPX,1366388742794182666,Fr. Peter Wojcik,0,1,14,0,"[-87.940033, 41.644102]","Chicago, IL",0,4965,611,1,relationship god frees us people encounter joy knowing always reason hope,our relationship with god free us to be peopl of encounter and of joy know that we alway hav a reason for hop,[]
5572,2021-03-01T13:10:56+00:00,All the joy she gave us! #Madonna #crzy4madnna #queenofpop #luckystar https://t.co/GGkbev4pIG,1366375400981553153,Cr@zy4Mad*nna,3,14,53,0,"[-87.940033, 41.644102]","Chicago, IL","['Madonna', 'crzy4madnna', 'queenofpop', 'luckystar']",1789,518,1,joy gave us madonna crzy4madnna queenofpop luckystar,all the joy she gav us madonna crzy4madnna queenofpop luckystar,[]
7220,2021-03-01T04:01:04+00:00,@inlandemperor Thank you for providing me with this mind blowing moment of pure joy over being right. 🙌🏻,1366237023821037568,Miranda Hamand,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,226,409,1,inlandemperor thank providing mind blowing moment pure joy right 🙌🏻,inlandemperor thank you for provid me with thi mind blow moment of pur joy over be right 🙌🏻,['raising_hands_light_skin_tone']
7565,2021-03-01T03:24:49+00:00,anya taylor-joy thanking fellow nominee cate blanchett who is not even in attendance !!! she really chose to be an icon,1366227900060557315,spooked katy 😶‍🌫️,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,644,546,1,anya taylorjoy thanking fellow nominee cate blanchett even attendance really chose icon,anya taylorjoy thank fellow nomine cat blanchett who is not even in attendanc she really chos to be an icon,[]
7569,2021-03-01T03:24:25+00:00,"Anya Taylor-Joy deserved it 
#GoldenGlobes",1366227799846092800,ThaBlackPolymath,0,0,0,0,"[-87.805698, 41.8650062]","Oak Park, IL",['GoldenGlobes'],469,926,1,anya taylorjoy deserved goldenglobes,anya taylorjoy deserved it goldenglobe,[]
14600,2021-03-02T15:07:45+00:00,"Today is the day! @JohnFLyons2 book ""Joy and Fear: The Beatles, Chicago and the 1960's"" is available from @PermutedPress. Order a copy here (using this link may benefit the podcast):

https://t.co/cy3LzVNA9W

#ChicagoHistory #TheBeatles #BeatlesBooks @whitesox #ComiskeyPark https://t.co/MjJHUUYb4F",1366767189563432968,ChicagoHistoryPod,0,1,2,0,"[-87.940033, 41.644102]","Chicago, IL","['ChicagoHistory', 'TheBeatles', 'BeatlesBooks', 'ComiskeyPark']",281,294,1,today day johnflyons2 book joy fear beatles chicago 1960s available permutedpress order copy using link may benefit podcastchicagohistory thebeatles beatlesbooks whitesox comiskeypark,today is the day johnflyons2 book joy and fear the beatle chicago and the 1960 is avail from permutedpres order a copy her us thi link may benefit the podcastchicagohistory thebeatle beatlesbook whitesox comiskeypark,[]
14708,2021-03-02T14:54:53+00:00,The joy 😂 but man...slowish should be a word https://t.co/zHHmEeEoiB,1366763948884832258,Legends Never Die,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,369,288,1,joy 😂 manslowish word,the joy 😂 but manslowish should be a word,['face_with_tears_of_joy']
14769,2021-03-02T14:47:42+00:00,@scuriiosa @inaoifeble Omg this is the 5th time Joy Yee’s has been mentioned already this week. The universe is trying to tell me something.,1366762143073329163,White Sox Barber 💈,1,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,1461,1097,1,scuriiosa inaoifeble omg 5th time joy yee ’ mentioned already week universe trying tell something,scuriiosa inaoifebl omg thi is the 5th tim joy yee ’ s has been mentioned already thi week the univers is try to tell me someth,[]
14923,2021-03-02T14:32:04+00:00,@kenallenlaw I know how you love helping teachers and thought you may want to help bring a book vending machine to my #Chicago school. Our neighborhood was hit hard by #COVID19 and this project will bring  #joy to so many! Thank you! 💚 #kids #books https://t.co/MhBXsoKlTB,1366758206165426181,𝓒𝓸𝓵𝓵𝓮𝓮𝓷 𝓚𝓱𝓪𝓷𝓲,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL","['Chicago', 'COVID19', 'joy', 'kids', 'books']",1198,2940,1,kenallenlaw know love helping teachers thought may want help bring book vending machine chicago school neighborhood hit hard covid19 project bring joy many thank 💚 kids books,kenallenlaw i know how you lov help teacher and thought you may want to help br a book vend machin to my chicago school our neighborhood was hit hard by covid19 and thi project will br joy to so many thank you 💚 kid book,['green_heart']
